price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,sale_year
570000.0,3,2.5,2420,11953,1.0,N,0,Average,9,2420,0,1990,0,98074,47.6285,-122.054,2420,12215,2014
279000.0,4,2.0,1560,7569,1.5,N,0,Good,7,1560,0,1966,0,98058,47.4496,-122.155,1480,8755,2014
300000.0,3,1.0,1090,9900,1.0,N,0,Good,7,1090,0,1955,0,98052,47.6755,-122.16,1720,10419,2014
259000.0,3,2.0,1390,7120,1.0,N,0,Average,7,1390,0,1988,0,98030,47.3786,-122.179,1530,7688,2015
130000.0,2,1.0,790,7500,1.0,N,0,Average,7,790,0,1951,0,98198,47.4007,-122.294,1560,7794,2015
1700000.0,4,3.5,4330,15335,2.0,N,0,Good,11,3230,1100,1988,0,98040,47.5315,-122.231,3840,14311,2014
479900.0,4,2.0,2510,9750,1.0,N,0,Average,8,1630,880,1960,0,98028,47.7438,-122.229,1980,9750,2015
398000.0,4,1.0,1420,6458,1.0,N,0,Good,7,1420,0,1953,0,98117,47.6988,-122.358,1670,6350,2014
900000.0,5,6.0,7120,40806,2.0,N,4,Average,12,5480,1640,2007,0,98006,47.5451,-122.114,3440,36859,2015
3850000.0,4,4.25,5770,21300,2.0,Y,4,Good,11,5770,0,1980,0,98040,47.585,-122.222,4620,22748,2014
226550.0,3,1.0,990,4440,1.0,N,0,Average,6,990,0,1943,0,98106,47.522,-122.354,990,6771,2014
260000.0,3,1.0,1910,8710,1.0,N,0,Average,7,1080,830,1954,0,98168,47.5038,-122.3,1460,8944,2015
650000.0,3,1.5,2120,8448,1.0,N,0,Average,7,1060,1060,1940,0,98199,47.6438,-122.403,1620,7920,2015
450000.0,3,2.5,1460,7573,2.0,N,0,Average,8,1460,0,1983,0,98007,47.6012,-122.141,1910,7668,2014
430000.0,4,3.0,3220,8936,2.0,N,0,Average,9,2450,770,1990,0,98031,47.4208,-122.213,2810,10500,2014
249000.0,3,2.0,1260,1125,2.0,N,0,Average,7,810,450,2011,0,98106,47.5262,-122.361,1260,1172,2014
381500.0,4,2.5,2430,5556,2.0,N,0,Good,8,2430,0,2003,0,98042,47.3762,-122.126,2430,5556,2014
325000.0,4,1.5,1870,7220,2.0,N,0,Average,7,1870,0,1956,0,98155,47.77,-122.319,1550,7592,2014
1700000.0,3,2.75,2810,18731,2.0,Y,4,Good,10,2810,0,1974,0,98052,47.6361,-122.093,3120,14810,2014
439950.0,4,2.5,2380,12067,2.0,N,0,Average,7,2380,0,2002,0,98059,47.4873,-122.144,2330,8621,2014
799000.0,5,2.75,2500,19783,1.0,N,3,Good,8,2500,0,1959,0,98005,47.5938,-122.174,1700,15375,2014
765000.0,4,2.25,2620,17366,1.0,N,3,Average,9,1430,1190,1984,0,98075,47.584,-122.077,2620,15335,2015
568000.0,3,1.75,2050,3520,1.0,N,0,Good,7,1070,980,1977,0,98136,47.5536,-122.399,2050,16083,2014
515000.0,4,2.5,1910,8947,1.0,N,0,Good,8,1160,750,1970,0,98011,47.7374,-122.183,1920,7350,2015
891500.0,3,2.5,3090,20785,2.0,N,0,Good,10,3090,0,1991,0,98075,47.5602,-122.03,3400,7566,2014
265050.0,2,1.5,800,2119,2.0,N,0,Average,7,800,0,2008,0,98106,47.554,-122.362,1020,4800,2014
450000.0,3,1.75,1250,5963,1.0,N,0,Good,7,1250,0,1953,0,98115,47.6796,-122.301,970,5100,2015
920000.0,4,3.5,4080,10666,2.0,N,0,Average,9,4080,0,2005,0,98053,47.6818,-122.023,3920,8154,2014
560000.0,4,3.0,2720,7570,2.0,N,0,Average,9,2720,0,2008,0,98133,47.7113,-122.349,1770,5705,2015
275000.0,5,2.5,2570,17234,1.0,N,0,Average,7,1300,1270,1959,0,98133,47.7753,-122.355,1760,7969,2015
499000.0,2,1.5,1110,957,2.0,N,0,Average,8,930,180,2005,0,98119,47.6319,-122.362,1680,1104,2014
518000.0,4,2.5,2560,5672,2.0,N,1,Average,8,2560,0,2005,0,98056,47.5222,-122.201,2190,6788,2014
500000.0,4,2.25,2490,23478,2.0,N,0,Average,8,2490,0,1981,0,98072,47.7547,-122.094,2030,12611,2014
1222500.0,4,3.5,4910,9444,1.5,N,0,Average,11,3110,1800,2007,0,98074,47.6502,-122.066,4560,11063,2014
248000.0,4,1.0,1010,7515,1.0,N,0,Good,6,1010,0,1955,0,98198,47.4174,-122.316,1330,7515,2015
479000.0,3,2.5,1260,889,3.0,N,0,Average,8,1260,0,2008,0,98109,47.6277,-122.345,1340,1324,2014
581000.0,4,2.0,2510,13695,1.0,N,0,Good,7,1280,1230,1961,2001,98033,47.7005,-122.174,1220,12500,2014
1250000.0,5,5.0,5000,32909,2.0,N,0,Average,10,5000,0,2000,0,98075,47.6012,-122.022,3030,12601,2014
213500.0,3,1.0,1220,6000,1.0,N,0,Good,7,1220,0,1968,0,98002,47.3245,-122.209,1420,6000,2014
265000.0,4,1.5,1240,8158,1.0,N,0,Good,7,1110,130,1961,0,98198,47.3716,-122.31,1520,8147,2015
624000.0,4,1.75,2710,9216,1.0,N,0,Average,8,1440,1270,1961,0,98126,47.5523,-122.379,1960,6350,2014
500000.0,2,1.0,1510,4000,1.0,N,0,Average,6,930,580,1924,0,98117,47.6917,-122.38,1300,4000,2014
640500.0,2,1.75,1640,6750,1.0,N,0,Good,8,1340,300,1939,0,98125,47.7068,-122.308,1760,7490,2015
430000.0,3,1.0,1740,4800,1.0,N,0,Average,8,1740,0,1952,0,98118,47.5596,-122.27,1600,4800,2014
